vid,uid,content,votes,en_content
zCe72UH4Mto,Ugw9degDDAZ7XSQ4smd4AaABAg,Her:,2.0,Her:
zCe72UH4Mto,Ugy2Nn5zhvmXGJSZ5X54AaABAg,💕,2.0,
gspByZ11jjo,Ugy90Xc2cBLg6Cg8dox4AaABAg,4:48,46.0,4:48
tXyYbsHkYEs,UgxhoZ_j9U5ZceXiFaZ4AaABAg,1:09,1.0,1:09
tXyYbsHkYEs,UgxZieew9qO_pS1-h3J4AaABAg,2:32,19.0,2:32
9j-YD11LcLw,UgwY2nbmW3GRtjWtoiV4AaABAg,6:01,17.0,6:01
9j-YD11LcLw,UgywcGrPFh8c2uZK6op4AaABAg,6:48,7.0,6:48
9j-YD11LcLw,UgyEYGEwh9ml9fUZUR94AaABAg,10:40,5.0,10:40
9j-YD11LcLw,UgwLstMAnamKjwRSWhV4AaABAg,2:52,0.0,2:52
9j-YD11LcLw,UgyifVzhwNsBo5BU0rd4AaABAg,6:00,3.0,6:00
9j-YD11LcLw,Ugzdc_p-yMKUNUm5nEJ4AaABAg,@,0.0,
9j-YD11LcLw,Ugx0uyX-Wi1tfQpj6r14AaABAg,1:22,249.0,1:22
XXYlFuWEuKI,UgzfXlLmmLA0nsarTal4AaABAg,رائعة جدا,4.0,
XXYlFuWEuKI,UgyESe2lyXniJn2k-5x4AaABAg,"Очень душевная песня, Спасибо тебя за эту красоту",34.0,
XXYlFuWEuKI,UgxwaWEtkxeKpWVHU-x4AaABAg,Amoo,1.0,Amoo
XXYlFuWEuKI,UgyhgikdkdeokZhaW594AaABAg,♥,7.0,
XXYlFuWEuKI,UgyM5q39rrkW61J5wN14AaABAg,Ooh,12.0,Ooh
XXYlFuWEuKI,UgxEbIq3-ju4ypSwApZ4AaABAg,Ooh,6.0,Ooh
L0jQz6jqQS0,Ugz0V9lglUgUWZ3nIsx4AaABAg,-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,54.0,
L0jQz6jqQS0,UgwbFPPxQh7jdonmY0t4AaABAg,[,398.0,
L0jQz6jqQS0,UgyEyizt8LpU6axvMM94AaABAg,-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,29.0,
L0jQz6jqQS0,UgxdeUTc_CvKAz6ZF7t4AaABAg,23:23,23.0,23:23
L0jQz6jqQS0,UgysEjj6gQXHqn15pXd4AaABAg,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 💜,198.0,
L0jQz6jqQS0,UgxapJRTMjQ_LblQEoZ4AaABAg,7:46,361.0,7:46
L0jQz6jqQS0,UgzNrGR9L2EtQRrTAqZ4AaABAg,----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 💜,26.0,
L0jQz6jqQS0,Ugxh-DNzZZPOeGV9GgZ4AaABAg,5:55,13.0,5:55
oNYua4TKXyk,UgxOQSe2O4rigDXVJkh4AaABAg,27:44,0.0,27:44
oNYua4TKXyk,Ugzijf1ITfk7VMouKcx4AaABAg,❤❤❤✨✨,4.0,
oNYua4TKXyk,Ugxzfwxu2wMT4vuYiQh4AaABAg,AMENN,3.0,AMENN
oNYua4TKXyk,Ugy0sbogD1umpn_RwC54AaABAg,🔥 💪 🎯 👍 🎯 💪 🔥,0.0,
oNYua4TKXyk,UgyJbDMMcVKW6IcmMzF4AaABAg,👍👍,0.0,
oNYua4TKXyk,UgxhPJWHngjAvLl3c3B4AaABAg,💜,1.0,
oNYua4TKXyk,Ugxy1c9kY5OgNvMEiRx4AaABAg,😎👍,0.0,
oNYua4TKXyk,UgzioE-da45Peblo8QB4AaABAg,OKAY ✅,0.0,OKAY
4wHaTS7wsvk,UgxXKx7xuF_x5HgpVq94AaABAg,🤤🤤🤤🎂🎂🎂,1.0,
4wHaTS7wsvk,UgzCqcERtY6HZdFnoCp4AaABAg,🥰,1.0,
4wHaTS7wsvk,UgzN-dstallzRjzxm694AaABAg,🖤,15.0,
4wHaTS7wsvk,UgwSjgzJ480mqQ44eaR4AaABAg,😍,6.0,
4wHaTS7wsvk,UgwIlf3SngNvREsgPdF4AaABAg,(●’◡’●)ﾉ,0.0,
4wHaTS7wsvk,Ugwoe_1WSAbSNdGZRHd4AaABAg,😍,4.0,
4wHaTS7wsvk,UgwwdzNn7zPj6PBEdDZ4AaABAg,"Похожи на, Сара на огненную девушку а Эмма на ледяную.",17.0,
4wHaTS7wsvk,Ugxp-U3xioVDTeOYrjJ4AaABAg,❤,2.0,
4wHaTS7wsvk,UgxJwqEVGtQ86dUYI854AaABAg,😊,0.0,
4wHaTS7wsvk,Ugx9H4MZkpobVeI6BmZ4AaABAg,WOWW,1.0,WOWW
4wHaTS7wsvk,UgxRf3C7iv33NT47dZB4AaABAg,💙,0.0,
4wHaTS7wsvk,Ugw9ChisUeLZm3HjEcB4AaABAg,Red,0.0,Red
4wHaTS7wsvk,UgxpufdVd-G4r44wuNl4AaABAg,[Wow],9.0,Wow
4wHaTS7wsvk,UgxFxkx-YSij9yKV29p4AaABAg,😂😊😋,4.0,
4wHaTS7wsvk,UgyXlrtLihAzDdBBp9N4AaABAg,💌,1.0,
4wHaTS7wsvk,UgxEbJG1LeEj74U2-Dl4AaABAg,Blue,0.0,Blue
4wHaTS7wsvk,UgzXmJDhvYjUsVAeWYl4AaABAg,Cool,0.0,Cool
H6VVIoYwY8c,UgxwhCNJ5qU33faoVEp4AaABAg,❤,4.0,
H6VVIoYwY8c,UgzNXkoNC1jCdoIu8Ch4AaABAg,❤❤,1.0,
